VENUE,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,SPREAD
Road,30,81,7,25,26,36,8,26,34,18,31,8,7,3,93,0
Home,37,68,10,23,27,44,8,43,51,22,26,4,15,8,111,0
Road,48,88,6,12,17,18,13,26,39,30,20,6,10,9,119,-14
Home,40,81,10,22,23,26,12,24,36,20,17,5,15,4,113,14
Road,46,104,3,17,22,32,17,48,65,23,21,12,17,10,117,9
Home,44,106,9,41,12,18,10,39,49,31,27,11,16,8,109,-9
Road,40,99,3,22,11,21,12,33,45,13,23,5,6,4,94,1.5
Home,47,96,2,13,18,28,19,48,67,23,20,2,7,9,114,-1.5
Road,42,83,5,17,14,16,11,40,51,17,19,4,16,7,103,2
Home,36,84,5,12,18,25,7,24,31,24,11,9,7,6,95,-2
Road,42,82,11,31,20,26,6,33,39,32,19,8,14,2,115,-4.5
Home,42,94,13,36,15,18,15,34,49,24,24,9,14,2,112,4.5
Road,41,86,4,20,25,29,11,40,51,23,20,5,15,2,111,4.5
Home,37,89,12,33,20,32,11,30,41,18,25,9,11,6,106,-4.5
Road,41,80,10,23,23,27,13,36,49,25,21,4,12,1,115,3
Home,37,90,5,21,13,19,14,25,39,22,23,9,10,7,92,-3
Road,47,97,10,32,17,20,15,33,48,32,25,11,17,2,121,-3
Home,34,73,6,21,27,34,6,30,36,19,26,11,24,5,101,3
Road,43,82,10,16,22,34,8,34,42,23,20,10,12,9,118,-15.5
Home,43,93,9,24,16,22,13,33,46,26,30,6,13,5,111,15.5
Road,40,79,10,27,14,15,6,35,41,23,21,7,15,1,104,-7
Home,35,81,5,22,21,24,9,33,42,23,15,8,14,4,96,7
Road,41,82,9,24,14,21,5,39,44,26,25,7,21,6,105,0
Home,38,91,7,25,19,29,11,34,45,27,23,12,14,3,102,0
Road,28,76,3,20,26,32,10,34,44,13,25,6,13,3,85,7.5
Home,33,81,7,28,25,31,9,38,47,12,22,4,12,2,98,-7.5
Road,37,77,12,28,17,27,8,27,35,19,31,8,15,4,103,10
Home,41,85,13,34,34,36,14,34,48,23,19,8,10,3,129,-10
Road,43,93,7,21,22,33,17,27,44,13,20,5,7,4,115,7.5
Home,44,79,13,19,25,26,8,30,38,30,21,2,8,7,126,-7.5
Road,43,86,8,16,17,23,12,26,38,19,26,6,11,10,111,3.5
Home,39,90,12,32,25,38,23,25,48,20,21,7,12,6,115,-3.5
Road,37,80,8,25,14,21,6,37,43,17,15,10,13,3,96,10
Home,34,79,8,26,12,13,5,35,40,19,21,8,17,2,88,-10
Road,36,92,5,15,16,25,7,38,45,17,26,8,12,6,93,1.5
Home,38,100,2,13,23,34,20,46,66,19,24,8,14,8,101,-1.5
Road,46,87,11,25,19,25,13,34,47,26,19,7,6,6,122,-5
Home,37,84,6,20,15,23,12,28,40,18,20,2,8,3,95,5
Road,39,89,14,45,10,12,6,37,43,30,17,14,13,8,102,-7
Home,36,86,10,34,10,16,8,39,47,23,17,7,17,7,92,7
Road,28,76,12,29,33,43,11,35,46,18,24,7,17,2,101,8
Home,44,86,5,16,15,25,7,37,44,32,27,10,8,8,108,-8
Road,49,101,10,28,14,17,10,28,38,33,27,13,11,2,122,-4.5
Home,43,83,8,15,30,40,15,36,51,24,17,5,17,6,124,4.5
Road,31,88,7,24,15,20,10,31,41,20,27,8,16,2,84,16.5
Home,44,80,13,24,23,35,10,43,53,29,20,9,16,10,124,-16.5
Road,41,85,7,14,35,41,13,30,43,26,22,11,11,2,124,-5.5
Home,43,79,10,21,19,26,6,30,36,23,29,7,22,4,115,5.5
Road,29,83,6,23,25,33,8,40,48,17,17,8,16,4,89,4.5
Home,43,94,12,26,11,17,7,48,55,29,24,9,14,4,109,-4.5
Road,43,83,7,17,21,28,6,44,50,28,18,9,16,12,114,0
Home,41,100,10,27,18,22,12,32,44,27,25,10,12,3,110,0
Road,36,87,11,34,31,41,11,24,35,17,28,15,14,4,114,4.5
Home,38,74,10,24,31,38,8,33,41,22,29,11,21,4,117,-4.5
Road,43,90,3,12,15,19,12,35,47,18,20,10,13,2,104,11.5
Home,40,80,10,23,22,25,7,33,40,24,18,6,15,6,112,-11.5
Road,37,76,10,29,19,27,8,35,43,23,20,7,14,2,103,8
Home,45,91,13,32,11,17,12,35,47,26,20,11,9,1,114,-8
Road,35,77,13,26,22,25,8,30,38,22,17,4,13,5,105,8
Home,46,91,3,15,13,16,9,34,43,22,19,8,8,4,108,-8
Road,33,83,7,23,18,26,10,30,40,18,24,8,14,4,91,11
Home,39,83,11,28,22,34,10,40,50,22,19,10,16,1,111,-11
Road,42,90,13,28,21,25,9,34,43,23,24,7,13,2,118,-8
Home,40,86,6,14,26,31,11,35,46,19,23,8,12,8,112,8
Road,37,74,6,10,25,33,11,25,36,25,22,8,15,4,105,9.5
Home,41,85,10,26,22,26,13,26,39,21,22,7,12,7,114,-9.5
Road,38,90,9,28,19,26,9,33,42,19,22,11,11,4,104,1.5
Home,44,88,8,23,13,16,7,43,50,26,22,6,15,2,109,-1.5
Road,39,88,17,39,24,33,15,30,45,16,21,5,7,3,119,8
Home,48,85,13,27,19,29,9,37,46,26,20,6,9,4,128,-8
Road,43,89,12,33,18,22,14,38,52,28,27,5,13,5,116,-4.5
Home,35,86,9,28,24,30,13,29,42,26,21,10,10,4,103,4.5
Road,34,90,6,24,13,17,14,43,57,18,14,11,16,2,87,10
Home,30,85,13,46,8,14,9,38,47,19,20,13,17,9,81,-10
Road,44,85,8,19,12,15,6,44,50,26,16,13,16,8,108,-6
Home,39,96,6,18,8,15,10,34,44,27,14,13,14,1,92,6
Road,53,88,13,25,11,16,8,34,42,35,21,9,20,4,130,-8.5
Home,41,90,10,26,22,28,8,29,37,23,17,11,15,4,114,8.5
Road,42,87,4,15,19,25,7,28,35,26,27,9,14,7,107,8.5
Home,41,84,5,23,25,33,9,33,42,21,21,9,16,3,112,-8.5
Road,47,86,8,19,17,22,9,27,36,25,15,4,13,6,119,-5.5
Home,47,90,12,20,17,18,14,25,39,29,25,5,12,6,123,5.5
Road,37,75,8,18,34,42,9,33,42,21,22,12,17,8,116,-1.5
Home,42,98,9,27,13,23,21,29,50,16,29,10,20,4,106,1.5
Road,44,82,10,29,21,35,12,34,46,26,25,14,16,5,119,4.5
Home,37,80,13,35,18,22,11,29,40,22,30,4,21,3,105,-4.5
Road,38,79,9,18,11,12,9,34,43,17,16,5,11,5,96,-3
Home,33,77,3,17,9,12,4,27,31,15,10,6,11,2,78,3
Road,36,83,11,28,13,19,6,32,38,23,21,8,14,7,96,3
Home,35,85,4,19,21,24,10,42,52,19,20,8,14,3,95,-3
Road,40,94,7,23,16,17,17,38,55,24,19,7,11,8,103,-8
Home,35,82,8,25,16,21,7,34,41,21,19,10,11,5,94,8
Road,39,93,6,27,11,16,15,32,47,24,24,6,12,1,95,1.5
Home,37,80,4,16,30,36,11,40,51,18,15,7,11,4,108,-1.5
Road,35,74,12,24,15,21,10,29,39,21,26,4,14,0,97,-1
Home,37,73,6,17,19,26,5,29,34,18,23,6,11,0,99,1
Road,32,88,5,20,19,22,17,32,49,19,20,3,20,2,88,6
Home,37,89,7,34,22,24,13,35,48,28,21,14,11,11,103,-6
Road,43,93,9,29,21,31,18,31,49,18,26,7,15,3,116,4.5
Home,45,88,11,29,21,27,10,35,45,25,25,9,14,1,122,-4.5
Road,43,89,9,29,22,26,11,30,41,18,27,6,8,4,117,-2
Home,34,78,12,24,27,37,13,31,44,19,23,6,16,3,107,2
Road,43,85,13,32,13,15,10,37,47,24,26,6,13,7,112,-4
Home,32,78,5,23,26,39,11,27,38,14,14,9,7,3,95,4
Road,36,87,1,13,16,23,14,40,54,19,19,7,18,12,89,6
Home,39,96,5,16,18,22,12,36,48,26,19,12,11,6,101,-6
Road,42,84,5,15,23,30,7,37,44,28,21,9,11,5,112,5
Home,39,84,10,27,22,26,7,35,42,22,24,9,15,4,110,-5
Road,38,87,5,21,22,27,8,39,47,20,17,6,10,7,103,-3
Home,39,94,7,22,10,12,10,40,50,33,21,4,9,6,95,3
Road,37,76,8,19,22,28,7,36,43,24,21,4,13,4,104,-5
Home,35,84,8,25,16,22,9,30,39,19,27,5,14,4,94,5
Road,37,88,12,30,16,24,17,29,46,24,18,13,10,2,102,1.5
Home,38,78,7,12,8,10,12,32,44,21,23,3,21,7,91,-1.5
Road,45,95,14,32,17,25,4,28,32,25,22,15,11,7,121,-2
Home,46,96,9,26,17,26,16,46,62,23,21,6,22,4,118,2
Road,32,80,6,20,36,42,7,27,34,15,26,11,8,4,106,-6.5
Home,37,80,12,32,25,35,16,40,56,19,28,4,18,3,111,6.5
Road,40,84,7,15,11,17,8,37,45,23,21,12,19,2,98,10.5
Home,37,89,5,20,17,25,16,32,48,14,19,11,21,9,96,-10.5
Road,32,80,9,29,26,30,6,33,39,20,26,6,14,2,99,-5.5
Home,39,79,11,31,24,34,6,39,45,28,26,6,13,2,113,5.5
Road,27,81,7,32,15,23,10,31,41,16,12,7,6,4,76,3.5
Home,38,77,8,17,3,5,6,42,48,29,19,4,15,5,87,-3.5
Road,39,80,10,21,13,18,8,24,32,21,24,5,5,1,101,-1
Home,41,71,12,23,20,27,7,31,38,28,20,2,10,1,114,1
Road,41,81,14,24,15,21,8,37,45,19,20,4,12,7,111,4.5
Home,40,93,3,14,19,25,19,33,52,21,17,7,9,5,102,-4.5
Road,41,77,5,22,29,37,3,31,34,20,21,6,17,7,116,10.5
Home,49,86,10,16,22,25,6,27,33,28,27,9,12,6,130,-10.5
Road,34,90,7,23,26,37,23,30,53,19,17,5,15,3,101,6.5
Home,47,89,13,36,21,21,8,35,43,34,26,9,8,6,128,-6.5
Road,40,84,1,8,17,21,12,42,54,25,18,9,15,4,98,-1.5
Home,32,87,6,15,11,12,12,27,39,16,23,8,11,9,81,1.5
Road,37,80,8,18,14,15,9,27,36,23,23,8,11,11,96,8
Home,35,83,9,29,21,25,9,31,40,22,15,4,11,2,100,-8
Road,43,89,10,32,12,21,6,26,32,27,27,8,11,4,108,11.5
Home,43,89,6,20,24,31,14,39,53,25,17,6,15,6,116,-11.5
Road,38,101,7,24,12,17,15,37,52,23,21,6,9,4,95,5.5
Home,37,84,6,18,20,29,11,36,47,27,18,6,9,13,100,-5.5
Road,41,87,15,36,24,35,16,25,41,30,24,12,16,1,121,-1
Home,48,81,8,15,24,33,10,32,42,30,24,12,17,4,128,1
Road,36,75,3,20,28,36,4,23,27,27,16,7,8,4,103,-2
Home,40,75,8,25,8,10,8,32,40,27,26,3,19,4,96,2
Road,47,82,14,34,23,26,10,37,47,28,23,7,21,3,131,-7
Home,48,107,7,25,13,19,22,24,46,28,16,11,10,0,116,7
Road,32,77,8,19,23,33,11,33,44,25,19,10,13,3,95,12
Home,41,83,9,23,14,16,8,39,47,22,22,8,11,4,105,-12
Road,33,91,6,27,20,27,13,29,42,14,22,5,11,2,92,13
Home,45,93,13,27,23,27,15,43,58,27,21,8,12,6,126,-13
Road,41,90,11,23,18,26,8,21,29,20,22,10,9,2,111,6.5
Home,52,77,6,12,19,25,4,34,38,28,23,5,15,11,129,-6.5
Road,37,88,12,30,18,20,9,46,55,17,18,5,7,7,104,-4
Home,33,88,6,21,13,18,8,38,46,11,17,4,8,4,85,4
Road,41,91,9,30,17,20,18,27,45,29,29,11,16,4,108,5.5
Home,43,77,9,19,26,31,6,30,36,27,19,7,15,4,121,-5.5
Road,37,80,12,33,19,24,7,35,42,25,17,9,17,5,105,9
Home,41,103,12,36,15,17,18,33,51,28,22,11,11,3,109,-9
Road,39,89,5,18,18,27,11,33,44,28,19,8,7,4,101,1.5
Home,41,83,11,26,14,21,8,38,46,22,22,5,13,4,107,-1.5
Road,38,99,6,19,7,11,5,43,48,24,17,6,7,2,89,3
Home,39,97,7,21,17,22,8,51,59,25,14,5,10,6,102,-3
Road,40,81,10,25,29,35,8,42,50,20,21,9,12,7,119,-8.5
Home,34,85,13,33,18,26,7,31,38,23,24,8,14,5,99,8.5
Road,34,84,11,29,14,20,12,36,48,15,21,4,14,7,93,5.5
Home,43,107,7,26,23,24,19,38,57,20,16,9,5,8,116,-5.5
Road,37,83,10,26,10,16,10,23,33,21,21,6,9,6,94,6
Home,40,80,6,22,18,21,10,35,45,12,18,7,9,5,104,-6
Road,36,90,14,37,9,13,6,37,43,24,28,10,22,3,95,5.5
Home,36,81,3,35,25,38,8,43,51,20,14,15,21,9,100,-5.5
Road,39,82,9,26,11,20,16,28,44,31,29,7,24,3,98,5.5
Home,35,79,5,18,29,33,14,23,37,20,23,13,19,4,104,-5.5
Road,38,80,10,20,18,26,12,37,49,28,23,7,14,6,104,-2
Home,34,76,3,14,28,32,6,31,37,14,21,8,12,1,99,2
Road,42,84,11,29,9,13,5,31,36,25,22,8,17,3,104,-3
Home,32,75,5,14,29,34,9,36,45,17,20,8,19,2,98,3
Road,31,78,6,19,13,23,7,35,42,19,13,3,15,1,81,10.5
Home,43,84,3,14,8,9,5,36,41,25,20,8,8,6,97,-10.5
Road,35,79,11,31,26,32,6,25,31,19,25,7,6,4,107,6.5
Home,38,78,12,23,29,38,7,35,42,22,20,3,11,6,117,-6.5
Road,39,98,10,35,10,11,18,45,63,22,21,3,17,8,98,1
Home,40,98,9,32,14,21,12,33,45,26,13,11,6,3,103,-1
Road,33,82,5,22,21,27,6,32,38,12,24,7,9,2,92,14.5
Home,40,83,9,17,19,25,7,41,48,25,25,5,12,8,108,-14.5
Road,36,81,8,21,14,15,5,44,49,27,11,8,11,10,94,-8
Home,35,89,8,24,8,8,7,34,41,23,13,6,11,4,86,8
Road,42,80,7,25,13,24,9,34,43,23,14,8,13,4,104,5.5
Home,45,94,7,29,4,6,13,34,47,25,25,5,15,3,101,-5.5
Road,40,86,4,20,22,27,11,35,46,22,18,3,14,4,106,8.5
Home,47,87,11,34,16,21,4,36,40,33,20,11,8,3,121,-8.5
Road,37,90,9,28,18,21,12,34,46,23,24,10,10,4,101,3
Home,38,79,13,31,19,23,7,34,41,20,19,4,11,9,108,-3
Road,35,78,5,14,27,39,8,49,57,18,16,8,18,5,102,12.5
Home,35,101,7,27,7,14,15,35,50,20,31,12,14,3,84,-12.5
Road,39,88,5,16,29,36,16,39,55,24,19,7,16,5,112,-9.5
Home,36,95,9,31,21,27,15,29,44,21,27,12,8,5,102,9.5
Road,42,92,9,23,11,14,10,35,45,22,18,4,10,3,104,9.5
Home,41,90,4,20,19,25,13,38,51,20,14,8,8,2,105,-9.5
Road,39,83,11,27,26,35,10,26,36,14,35,5,11,3,115,5
Home,34,67,6,12,43,54,9,29,38,12,30,5,13,4,117,-5
Road,32,81,3,20,16,24,10,37,47,14,19,2,16,5,83,8.5
Home,42,90,12,27,12,16,8,39,47,24,19,9,9,5,108,-8.5
Road,32,75,5,19,19,29,12,33,45,21,18,6,17,5,88,1.5
Home,37,81,4,18,16,19,9,33,42,14,22,8,11,5,94,-1.5
Road,42,87,7,22,10,14,15,28,43,25,22,9,25,5,101,4.5
Home,43,83,14,24,16,20,9,28,37,24,19,13,18,6,116,-4.5
Road,46,91,13,22,16,21,8,26,34,32,21,5,13,4,121,6
Home,46,96,6,26,22,25,17,33,50,28,20,8,15,6,120,-6
Road,37,68,13,28,19,26,3,36,39,31,18,6,10,8,106,-8
Home,29,85,5,27,14,20,17,29,46,19,16,5,10,1,77,8
Road,37,80,10,23,19,27,10,27,37,17,22,8,14,1,103,7
Home,42,82,10,30,26,34,15,32,47,27,21,8,15,4,120,-7
Road,36,92,6,26,11,15,14,28,42,13,21,6,9,1,89,-4
Home,42,79,4,16,14,18,8,39,47,19,14,4,10,5,102,4
Road,37,83,7,21,19,20,10,32,42,14,28,8,12,4,100,2.5
Home,39,89,6,15,15,24,14,32,46,25,21,7,16,4,99,-2.5
Road,37,78,6,20,26,27,10,43,53,23,17,4,14,10,106,0
Home,38,92,9,19,9,11,6,26,32,25,27,6,8,5,94,0
Road,45,92,9,26,19,26,17,20,37,19,21,7,15,4,118,4.5
Home,52,76,10,18,18,22,4,26,30,36,26,8,12,8,132,-4.5
Road,35,87,9,35,21,30,11,29,40,22,27,17,18,3,100,-1.5
Home,36,79,9,21,27,34,12,41,53,28,21,8,25,4,108,1.5
Road,37,81,6,16,14,21,7,26,33,21,19,13,19,4,94,12.5
Home,40,81,8,23,16,19,11,35,46,31,21,6,21,5,104,-12.5
Road,40,89,10,27,17,20,10,43,53,26,26,9,18,3,107,4.5
Home,34,79,12,32,17,28,6,35,41,22,20,10,18,10,97,-4.5
Road,32,76,7,25,33,43,14,41,55,27,23,5,21,8,104,-7
Home,34,90,3,19,25,30,14,29,43,22,24,17,10,6,96,7
Road,37,92,4,30,17,21,17,32,49,32,20,5,20,3,95,-16
Home,41,87,9,25,21,22,9,32,41,23,24,12,11,6,112,16
Road,37,71,12,28,23,30,10,37,47,24,23,3,15,3,109,13.5
Home,32,80,10,22,26,33,12,26,38,17,27,6,10,3,100,-13.5
Road,41,93,16,41,16,20,8,38,46,29,19,5,12,8,114,-2.5
Home,44,107,9,26,19,25,17,41,58,25,25,8,11,5,116,2.5
Road,35,78,11,31,22,23,3,28,31,18,23,8,13,0,103,1.5
Home,44,84,12,22,23,28,10,35,45,22,23,7,12,1,123,-1.5
Road,37,85,11,31,13,22,12,28,40,20,21,5,11,7,98,15
Home,36,81,8,14,23,30,13,38,51,16,18,7,12,10,103,-15
Road,38,78,13,29,24,37,8,29,37,27,21,9,10,4,113,6
Home,37,77,12,33,21,27,7,35,42,27,24,8,15,6,107,-6
Road,39,80,4,15,21,24,5,38,43,22,19,10,15,6,103,9.5
Home,41,90,12,30,14,17,6,36,42,20,17,8,13,7,108,-9.5
Road,41,86,6,20,18,22,9,26,35,23,26,16,16,8,106,10
Home,36,80,7,29,24,29,13,36,49,23,22,9,25,7,103,-10
Road,34,96,4,28,19,22,18,34,52,15,19,5,8,6,91,-6.5
Home,32,78,7,16,28,30,8,40,48,19,18,5,9,7,99,6.5
Road,36,91,7,18,11,17,18,30,48,24,19,7,11,5,90,6
Home,39,78,10,25,12,15,6,38,44,35,18,5,18,11,100,-6
Road,41,83,7,25,23,27,6,38,44,27,25,12,22,1,112,1
Home,45,94,7,25,18,26,10,33,43,23,21,17,17,6,115,-1
Road,39,83,12,32,19,29,6,42,48,18,25,10,9,7,109,-4
Home,30,81,4,25,26,32,12,39,51,15,19,5,15,1,90,4
Road,40,90,5,21,28,34,9,33,42,24,21,14,15,3,113,15
Home,42,84,16,35,19,27,10,40,50,27,26,13,24,7,119,-15
Road,42,82,6,12,9,9,6,23,29,23,22,7,15,8,99,12.5
Home,37,78,10,23,20,25,12,28,40,24,15,9,16,7,104,-12.5
Road,47,85,4,19,18,19,9,37,46,28,16,13,9,7,116,-10
Home,36,79,4,15,15,19,7,28,35,18,17,5,15,2,91,10
Road,33,75,6,18,22,26,6,37,43,21,20,1,16,9,94,3.5
Home,45,99,6,21,14,19,11,34,45,28,22,9,6,3,110,-3.5
Road,38,80,8,25,7,14,4,37,41,15,19,9,16,4,91,1.5
Home,30,86,7,26,17,23,15,39,54,16,14,10,20,4,84,-1.5
Road,45,99,8,20,11,23,12,33,45,26,28,9,12,5,109,5.5
Home,41,89,10,24,24,31,13,40,53,24,27,2,20,4,116,-5.5
Road,37,76,5,19,19,27,4,31,35,19,24,5,10,4,98,-2
Home,40,81,9,27,18,23,10,35,45,21,22,7,15,2,107,2
Road,40,85,10,33,23,28,6,37,43,22,23,2,11,3,113,8
Home,38,82,15,35,31,38,4,39,43,21,18,6,5,3,122,-8
Road,38,86,11,33,31,41,17,28,45,22,24,14,13,5,118,-11
Home,35,86,12,33,22,32,16,26,42,23,28,8,18,5,104,11
Road,32,84,7,26,25,31,16,32,48,20,22,8,19,7,96,11
Home,41,87,15,32,19,24,7,31,38,26,27,9,13,7,116,-11
Road,42,80,6,15,18,19,10,29,39,23,24,6,15,8,108,-3
Home,42,80,4,8,26,37,12,22,34,27,19,7,13,0,114,3
Road,38,85,9,27,17,30,15,36,51,19,14,7,11,3,102,2
Home,39,86,9,30,9,11,7,33,40,25,19,6,8,2,96,-2
Road,46,82,16,24,20,24,7,36,43,31,18,8,10,9,128,-3
Home,39,89,9,29,10,15,10,28,38,16,21,6,11,0,97,3
Road,41,81,12,34,14,23,2,27,29,29,17,11,10,4,108,4.5
Home,48,91,9,24,15,18,10,42,52,33,20,6,16,2,120,-4.5
Road,39,90,13,44,29,35,15,36,51,17,21,5,13,1,120,-6.5
Home,40,84,8,22,23,32,5,33,38,20,27,8,9,2,111,6.5
Road,32,79,8,20,22,31,14,28,42,21,16,9,18,4,94,12.5
Home,48,84,13,30,6,10,9,30,39,36,23,10,15,7,115,-12.5
Road,35,82,7,23,19,27,6,27,33,17,24,8,11,5,96,4
Home,38,82,7,24,21,29,11,37,48,16,24,6,13,3,104,-4
Road,39,86,11,22,12,13,11,39,50,23,18,5,21,5,101,12.5
Home,44,93,6,17,15,19,9,31,40,29,12,14,8,4,109,-12.5
Road,33,89,6,28,26,33,16,36,52,19,18,4,14,4,98,7
Home,44,91,13,28,15,19,11,38,49,27,30,9,11,11,116,-7
Road,45,85,16,35,14,20,9,29,38,22,20,4,8,6,120,-10.5
Home,42,80,7,22,17,21,4,30,34,18,22,8,10,4,108,10.5
Road,36,76,9,30,22,27,3,30,33,19,21,7,12,4,103,4
Home,42,83,10,25,24,29,9,28,37,28,19,9,10,5,118,-4
Road,33,87,5,17,18,22,11,30,41,22,14,8,12,4,89,-3
Home,38,84,9,28,10,15,11,38,49,25,20,5,16,6,95,3
Road,40,88,5,26,17,25,15,35,50,19,21,8,17,3,102,6
Home,34,91,8,31,22,28,14,31,45,24,17,14,14,3,98,-6
Road,47,91,10,18,14,20,9,34,43,30,13,14,8,6,118,-2
Home,38,81,8,21,12,15,7,32,39,27,14,7,18,6,96,2
Road,42,96,7,24,23,34,15,43,58,23,27,6,17,6,114,1
Home,47,96,6,14,21,32,10,40,50,27,26,14,10,7,121,-1
Road,37,86,7,21,18,21,6,31,37,22,23,12,12,7,99,12.5
Home,36,84,6,27,18,25,16,38,54,15,24,3,24,7,96,-12.5
Road,35,80,7,24,16,22,6,23,29,20,28,9,14,1,93,3.5
Home,38,67,9,16,29,38,4,38,42,15,19,10,18,4,114,-3.5
Road,41,79,4,15,21,34,12,39,51,22,23,11,19,8,107,2
Home,35,88,8,25,22,25,12,25,37,23,22,9,17,4,100,-2
Road,37,86,19,36,19,23,7,32,39,20,23,4,8,4,112,13.5
Home,40,89,18,40,30,39,16,40,56,23,20,5,8,6,128,-13.5
Road,34,83,4,20,22,25,14,34,48,23,20,7,14,3,94,10
Home,38,85,13,29,12,16,10,34,44,23,22,8,13,9,101,-10
Road,38,81,9,28,27,29,9,33,42,24,25,10,14,6,112,2
Home,41,85,8,22,15,18,7,33,40,30,21,7,13,1,105,-2
Road,43,93,5,26,18,28,14,26,40,21,20,8,9,5,109,4.5
Home,48,88,15,31,14,16,10,34,44,28,25,6,11,5,125,-4.5
Road,49,91,9,18,18,22,12,40,52,26,20,6,13,3,125,-10
Home,39,84,10,25,23,27,6,30,36,24,16,11,12,2,111,10
Road,37,98,9,25,21,26,16,31,47,19,30,9,13,5,104,6.5
Home,37,84,6,18,32,38,7,35,42,17,23,10,13,7,112,-6.5
Road,33,95,6,23,11,14,20,38,58,15,14,10,16,5,83,12.5
Home,36,84,11,34,12,17,8,39,47,27,14,9,11,12,95,-12.5
Road,35,89,6,29,16,21,11,36,47,19,19,7,16,4,92,4
Home,40,81,4,13,19,24,5,37,42,22,16,11,14,6,103,-4
Road,31,81,2,18,21,25,18,38,56,18,23,7,19,2,85,7.5
Home,34,85,4,24,21,25,13,31,44,17,17,12,11,3,93,-7.5
Road,36,86,7,21,21,29,12,25,37,20,28,13,19,3,100,1
Home,42,80,8,24,24,29,9,35,44,24,27,10,21,8,116,-1
Road,45,92,11,29,15,20,9,38,47,29,30,3,12,3,116,19
Home,42,84,11,33,28,33,7,35,42,28,25,6,8,9,123,-19
Road,34,91,7,26,9,18,11,28,39,19,16,6,15,4,84,8
Home,47,84,17,35,10,11,9,42,51,34,20,2,15,3,121,-8
Road,41,84,18,37,14,20,9,40,49,23,19,3,8,4,114,-1
Home,32,79,10,32,16,19,5,29,34,23,23,5,10,4,90,1
Road,33,87,5,24,4,7,7,31,38,24,14,9,16,5,75,4.5
Home,40,85,15,30,9,10,9,41,50,27,13,11,15,6,104,-4.5
Road,39,82,12,28,18,22,11,36,47,26,22,8,16,3,108,-1
Home,38,81,9,21,14,21,8,28,36,25,20,8,10,5,99,1
Road,45,89,6,14,13,21,15,26,41,27,12,13,9,3,109,-1
Home,39,70,12,27,10,13,3,28,31,25,18,3,20,6,100,1
Road,33,75,5,21,19,27,5,40,45,19,16,5,10,6,90,-1
Home,34,85,3,16,16,21,10,35,45,14,20,6,9,2,87,1
Road,42,87,9,30,14,18,6,36,42,30,26,9,14,6,107,7
Home,32,76,10,30,22,34,7,33,40,18,16,9,15,7,96,-7
Road,49,93,7,20,14,20,13,27,40,22,21,9,12,2,119,6
Home,47,79,8,17,22,28,6,27,33,24,20,9,14,6,124,-6
Road,41,83,9,25,18,20,8,30,38,23,22,2,8,7,109,9.5
Home,37,83,6,20,27,31,10,32,42,12,18,5,5,9,107,-9.5
Road,32,79,3,23,14,22,11,28,39,17,21,5,20,4,81,2
Home,51,90,8,18,14,18,5,35,40,34,22,11,10,3,124,-2
Road,30,101,4,17,17,28,28,30,58,14,25,7,19,0,81,10.5
Home,46,85,16,33,22,34,8,45,53,29,22,13,13,14,130,-10.5
Road,31,91,7,27,25,27,14,25,39,13,19,4,11,7,94,8
Home,49,83,9,17,21,26,10,42,52,31,20,10,13,6,128,-8
Road,37,84,4,16,26,30,6,30,36,25,20,13,16,4,104,1
Home,40,95,11,35,16,20,19,38,57,22,26,8,23,3,107,-1
Road,35,88,10,43,5,8,13,26,39,18,16,6,8,3,85,-4
Home,35,71,12,27,12,14,8,32,40,20,15,3,12,4,94,4
Road,35,93,7,25,30,34,17,23,40,18,19,14,8,3,107,15
Home,47,81,12,25,19,23,8,38,46,30,22,6,18,6,125,-15
Road,36,94,8,31,18,22,17,33,50,23,21,6,13,3,98,1
Home,39,84,5,12,20,28,11,34,45,18,18,9,13,7,103,-1
Road,40,80,9,24,21,24,7,30,37,23,19,8,16,1,110,3
Home,44,81,8,25,20,25,6,29,35,28,20,7,13,4,116,-3
Road,41,88,11,30,21,26,9,25,34,26,21,6,17,4,114,7
Home,47,90,10,24,27,31,14,38,52,23,20,12,12,3,131,-7
Road,39,83,14,29,15,17,13,35,48,27,23,4,9,8,107,-3
Home,34,77,2,13,19,26,10,27,37,18,16,8,7,3,89,3
Road,32,69,8,19,15,22,5,22,27,15,17,5,13,4,87,9
Home,44,82,8,20,12,16,12,30,42,25,21,6,10,4,108,-9
Road,38,79,4,18,26,33,5,36,41,26,17,17,16,8,106,-3
Home,37,84,5,26,19,26,10,39,49,20,23,10,22,5,98,3
Road,47,96,12,29,24,30,16,37,53,23,24,7,10,5,130,-2
Home,40,93,5,19,24,27,16,26,42,17,22,4,11,4,109,2
Road,35,83,11,25,18,21,2,38,40,23,20,4,8,9,99,9.5
Home,40,100,11,37,16,21,15,44,59,23,12,3,8,4,107,-9.5
Road,37,79,7,22,17,19,4,28,32,24,18,6,10,7,98,9
Home,39,88,10,37,11,13,13,35,48,21,19,9,16,4,99,-9
Road,35,87,6,20,20,23,9,31,40,20,20,10,18,3,96,6
Home,43,88,13,21,18,24,9,38,47,25,19,12,15,6,117,-6
Road,39,89,12,34,28,34,8,38,46,25,26,10,12,3,118,-1
Home,39,84,8,25,28,39,9,39,48,23,25,3,13,4,114,1
Road,40,71,10,21,24,31,7,26,33,31,20,5,13,8,114,-1
